mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.0	0	0	3/4	2	1	0	grace16	1/16	1	1	8	56	G#3	3	1
1	1	0	0	0.0	0	0	3/4	3	1	0	grace16	1/16	1	1	4	40	E2	2	4
1	1	0	0	0.0	0	0	3/4	3	1	0	grace16	1/16	1	1	5	47	B2	2	5
1	1	0	0	0.0	0	0	3/4	3	1	0	grace16	1/16	1		8	56	G#3	3	6
1	1	0	0	2.0	0	0	3/4	3	1	1/2		1/2	1	-1	4	40	E2	2	7
1	1	0	0	2.0	0	0	3/4	3	1	1/2		1/2	1	-1	5	47	B2	2	7
1	1	0	0	2.0	0	0	3/4	2	1	1/2		1/2	1	-1	8	56	G#3	3	2
1	1	0	0	2.0	0	0	3/4	2	1	1/2		1/2	1		8	68	G#4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		4	40	E2	2	9
1	1	5/2	5/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1	1	5	47	B2	2	8
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	3
1	1	5/2	5/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		8	68	G#4	4	0
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	3
2	2	3	3	0.5	0	0	3/4	3	2	1/8		1/8	1		6	42	F#2	2	23
2	2	3	3	0.5	0	0	3/4	3	1	1/8		1/8	1	-1	5	47	B2	2	18
2	2	3	3	0.5	0	0	3/4	2	1	1/8		1/8	1		3	57	A3	3	14
2	2	3	3	0.5	0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	10
2	2	3	3	0.5	0	0	3/4	2	1	1/8		1/8	1		3	69	A4	4	14
2	2	7/2	7/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		4	40	E2	2	24
2	2	7/2	7/2	1.0	1/8	1/8	3/4	3	1	1/4		1/4	1		5	47	B2	2	19
2	2	7/2	7/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	15
2	2	7/2	7/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		8	68	G#4	4	11
2	2	7/2	7/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	15
2	2	4	4	1.5	1/4	1/4	3/4	3	2	3/8		1/4	3/2		3	45	A2	2	25
2	2	4	4	1.5	1/4	1/4	3/4	2	1	3/8		1/4	3/2		7	61	C#4	4	16
2	2	4	4	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		7	73	C#5	5	12
2	2	4	4	1.5	1/4	1/4	3/4	2	1	3/8		1/4	3/2		7	73	C#5	5	16
2	2	9/2	9/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		4	52	E3	3	20
2	2	5	5	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		7	61	C#4	4	21
2	2	11/2	11/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		8	44	G#2	2	26
2	2	11/2	11/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1	1	4	52	E3	3	22
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1	1	5	59	B3	3	17
2	2	11/2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	13
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		5	71	B4	4	17
3	3	6	6	0.5	0	0	3/4	3	2	1/8		1/8	1		6	42	F#2	2	45
3	3	6	6	0.5	0	0	3/4	3	1	1/8		1/8	1	-1	4	52	E3	3	39
3	3	6	6	0.5	0	0	3/4	2	2	1/8		1/8	1	-1	5	59	B3	3	36
3	3	6	6	0.5	0	0	3/4	1	1	1/8		1/8	1		5	71	B4	4	27
3	3	6	6	0.75	0	0	3/4	2	1	3/16		1/8	3/2		5	71	B4	4	32
3	3	13/2	13/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		5	35	B1	1	46
3	3	13/2	13/2	0.5	1/8	1/8	3/4	3	1	1/8		1/8	1		9	51	D#3	3	40
3	3	13/2	13/2	0.5	1/8	1/8	3/4	2	2	1/8		1/8	1		3	57	A3	3	37
3	3	13/2	13/2	0.25	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	B4	4	28
3	3	27/4	27/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	29
3	3	27/4	27/4	0.25	3/16	3/16	3/4	2	1	1/16		1/16	1		3	69	A4	4	33
3	3	7	7	1.5	1/4	1/4	3/4	3	2	3/8		1/4	3/2		4	40	E2	2	47
3	3	7	7	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		4	52	E3	3	41
3	3	7	7	1.0	1/4	1/4	3/4	3	3	1/4		1/4	1		4	52	E3	3	49
3	3	7	7	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		8	56	G#3	3	38
3	3	7	7	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		8	68	G#4	4	30
3	3	7	7	1.5	1/4	1/4	3/4	2	1	3/8		1/4	3/2		8	68	G#4	4	34
3	3	15/2	15/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		5	47	B2	2	42
3	3	8	8	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		8	56	G#3	3	43
3	3	17/2	17/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		4	40	E2	2	48
3	3	17/2	17/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1	1	5	47	B2	2	44
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	35
3	3	17/2	17/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		8	68	G#4	4	31
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	35
4	4	9	9	0.5	0	0	3/4	3	2	1/8		1/8	1		9	39	D#2	2	65
4	4	9	9	0.5	0	0	3/4	3	1	1/8		1/8	1	-1	5	47	B2	2	61
4	4	9	9	0.5	0	0	3/4	2	1	1/8		1/8	1		6	54	F#3	3	54
4	4	9	9	0.5	0	0	3/4	1	1	1/8		1/8	1		6	66	F#4	4	50
4	4	9	9	0.5	0	0	3/4	2	1	1/8		1/8	1		6	66	F#4	4	54
4	4	19/2	19/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		8	44	G#2	2	66
4	4	19/2	19/2	1.0	1/8	1/8	3/4	3	1	1/4		1/4	1		5	47	B2	2	62
4	4	19/2	19/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	55
4	4	19/2	19/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	51
4	4	19/2	19/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		5	71	B4	4	55
